Samples,Study,Similarity,Signature Subs-01,Signature Subs-02,Signature Subs-03,Signature Subs-04,Signature Subs-05,Signature Subs-08,Signature Subs-12,Signature Subs-13,Signature Subs-17a,Signature Subs-17b,Signature Subs-18,Signature Subs-33,Signature Subs-40,Signature Subs-42
NSLC-0191-T01,Nice,0.86,185,0,0,0,1581,0,0,0,0,0,0,0,3015,0
NSLC-0192-T01,Nice,0.94,566,1112,0,0,2111,0,0,1066,0,0,0,0,5239,0
NSLC-0193-T01,Nice,0.99,208,0,0,0,1567,0,0,184,0,0,0,0,2275,0
NSLC-0194-T01,Nice,0.9299999999999999,243,236,0,0,2173,0,0,268,0,0,1686,0,0,0
NSLC-0195-T01,Nice,0.75,177,0,0,0,737,0,0,0,0,0,0,0,1360,0
NSLC-0196-T01,Nice,0.82,372,767,0,0,1480,0,0,1176,0,0,0,0,2946,0
NSLC-0197-T01,Nice,1,470,934,0,0,1375,0,0,0,0,0,0,0,3629,0
NSLC-0198-T01,Nice,0.7799999999999999,377,0,0,0,2202,629,0,0,0,0,0,0,0,0
NSLC-0199-T01,Nice,0.96,118,0,0,0,1626,440,0,0,0,0,0,0,0,0
NSLC-0200-T01,Nice,0.7899999999999999,480,352,0,0,1804,0,0,0,0,0,0,0,4758,0
NSLC-0201-T01,Nice,0.77,60,0,0,0,193,0,0,0,0,0,0,0,449,0
NSLC-0203-T01,Nice,0.86,174,0,0,865,1550,0,0,0,0,0,0,0,0,0
NSLC-0204-T01,Nice,0.8899999999999999,445,282,0,1604,1191,0,0,0,0,0,0,0,3836,0
NSLC-0207-T01,Nice,0.94,316,209,0,0,1517,0,0,0,0,0,0,0,1962,0
NSLC-0209-T01,Nice,0.7,260,0,0,0,512,0,0,0,0,0,0,0,1681,205
NSLC-0210-T01,Nice,0.99,287,0,0,0,697,0,0,0,0,0,0,0,1416,0
NSLC-0212-T01,Nice,0.72,158,0,0,0,655,0,0,0,0,0,0,0,1202,0
NSLC-0213-T01,Nice,0.8899999999999999,178,0,0,0,1136,0,0,0,0,0,0,353,2505,0
NSLC-0214-T01,Nice,0.83,13,0,0,0,3,0,0,0,0,0,0,0,102,26
NSLC-0215-T01,Nice,0.86,270,1049,4147,0,2129,0,0,704,0,0,0,0,0,0
NSLC-0216-T01,Nice,0.99,423,226,0,0,1748,0,0,0,0,0,518,0,0,0
NSLC-0217-T01,Nice,0.9099999999999999,640,1469,0,0,3731,0,0,0,0,0,2046,0,0,0
NSLC-0218-T01,Nice,0.9199999999999999,56,0,0,0,168,0,0,0,0,0,0,0,512,76
NSLC-0219-T01,Nice,0.99,71,0,0,0,797,0,0,0,0,0,0,0,646,0
NSLC-0220-T01,Nice,0.83,330,0,0,0,2466,0,0,0,0,0,1312,0,0,0
NSLC-0221-T01,Nice,0.76,279,0,0,0,1439,0,0,0,0,0,680,0,2923,0
NSLC-0222-T01,Nice,0.72,234,0,0,0,1934,439,0,0,0,0,0,0,0,0
NSLC-0223-T01,Nice,0.98,191,0,0,0,780,0,0,0,0,0,0,0,886,0
NSLC-0224-T01,Nice,0.75,12,18,0,0,133,0,0,17,0,0,0,0,0,0
NSLC-0225-T01,Nice,0.99,147,142,0,0,1538,0,0,0,0,0,0,0,1356,0
NSLC-0226-T01,Nice,0.84,380,0,0,0,995,0,0,0,0,0,0,0,4039,0
NSLC-0227-T01,Nice,0.7999999999999999,303,0,0,0,1701,0,0,0,0,0,0,0,3017,0
NSLC-0228-T01,Nice,0.97,360,0,0,0,1539,0,0,687,0,0,0,0,7866,0
NSLC-0229-T01,Yale,0.94,147,0,0,0,576,0,0,0,0,0,0,0,890,0
NSLC-0230-T01,Yale,0.82,287,0,0,0,501,0,0,0,0,0,0,0,1035,0
NSLC-0231-T01,Yale,0.85,468,2422,0,0,932,0,0,1816,0,0,0,0,5249,0
NSLC-0232-T01,Yale,0.8099999999999999,426,203,0,0,2398,694,0,0,0,0,0,0,0,0
NSLC-0233-T01,Yale,0.99,714,525,0,0,3920,0,0,0,0,0,1469,0,0,0
NSLC-0236-T01,Yale,0.8099999999999999,129,785,0,0,801,0,0,1010,0,0,0,0,0,0
